,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
255,🇮🇪,Elizabeth Golding,1,0,0,0,0,77.74,1,40.75,1,34.36,1,46.38,1,1.56,10,2.58,6,1.63,2,Null,0,4.2,2,3.72,2,3.77,2,3.91,2,3.8,2
256,🇰🇬,Aibike Esentaeva,1,0,0,0,0,77.55,1,35.59,1,32.07,1,47.48,1,1.5,10,2.34,6,1.51,2,Null,0,4.18,2,3.86,2,3.92,2,4.14,2,4,2
257,🇷🇸,Danica Djordjevic,1,0,0,0,0,77.37,1,45.83,1,38.12,1,43.25,1,2.06,10,2.11,6,2.46,2,Null,0,3.84,2,3.59,2,3.62,2,3.7,2,3.7,2
258,🇹🇼,Tsai-En Chiang,1,0,0,0,0,76.61,1,44.81,1,40.07,1,37.54,1,2.16,10,2.59,6,1.46,2,Null,0,3.48,2,2.9,2,3.2,2,3.26,2,2.94,2
259,🇵🇭,Skye Frances Patenia,1,0,0,0,0,76.51,1,38.49,1,33.95,1,44.56,1,1.46,10,2.73,6,1.5,2,Null,0,3.84,2,3.54,2,3.78,2,3.8,2,3.72,2
260,🇬🇷,Alexandra Mintsidou,1,0,0,0,0,74.04,1,42.58,1,34.73,1,44.31,1,1.59,10,2.3,6,2.51,2,Null,0,4.09,2,3.61,2,3.59,2,3.84,2,3.57,2
261,🇷🇴,Luiza-Elena Ilie,1,0,0,0,0,73.91,1,34.62,1,30.59,1,47.32,1,1.15,10,2.58,6,1.78,2,Null,0,4.08,2,3.62,2,3.88,2,4.04,2,4.09,2
262,🇲🇰,Jana Kukovska,1,0,0,0,0,59.4,1,31.25,1,25,1,36.4,1,1.22,10,1.69,6,1.32,2,Null,0,3.14,2,2.98,2,3.04,2,3.12,2,3.12,2
263,🇵🇪,Nayra Rosalia Junco Metzger,0,1,0,0,0,50.11,1,19.13,1,14.91,1,38.2,1,0.63,10,0.54,6,1.23,2,2.9,1,3.2,2,3.1,2,3.18,2,3.22,2,3.22,2
264,🇦🇲,Elen Ghazaryan,1,0,0,0,0,48.37,1,23.39,1,17.97,1,32.4,1,0.78,10,1.3,6,1.16,2,Null,0,2.8,2,2.6,2,2.72,2,2.76,2,2.77,2
265,🇲🇳,Misheel Otgonbaatar,1,0,0,0,1,44.89,1,27.42,1,18.69,1,32.2,1,0.86,13,0.95,9,1,3,Null,0,2.75,2,2.58,2,2.48,2,2.82,2,2.69,2
266,🇮🇳,Parrii Srohi,1,0,0,0,0,27.56,1,7.47,1,5.51,1,22.05,1,0.34,9,0.12,6,0.85,2,Null,0,1.78,2,1.72,2,1.86,2,1.78,2,1.91,2
