,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
77,🇰🇷,Siwoo Song,1,0,0,0,0,157.01,1,78.23,1,84.08,1,73.93,1,5.86,10,3.38,6,2.61,2,Null,0,6.16,2,6.1,2,6.16,2,6.25,2,6.12,2
78,🇫🇮,Oona Ounasvuori,0,3,0,0,0,155.86,3,75.79,3,77.36,3,79.16,3,4.63,33,3.3,21,3.33,7,3.63,3,6.62,6,6.25,6,6.52,6,6.61,6,6.64,6
79,🇺🇸,Mia Kalin,2,0,0,0,0,155.48,2,88.56,2,83.56,2,72.92,2,5.87,20,3.03,12,3.33,4,Null,0,6.16,4,5.86,4,6.16,4,6.1,4,6.14,4
80,🇰🇷,Chaebin Hwang,1,0,0,0,0,155.32,1,78.79,1,82.86,1,73.46,1,5.58,10,3.51,6,3,2,Null,0,6.09,2,5.91,2,6.06,2,6.08,2,6.06,2
81,🇨🇭,Kimmy Repond,1,0,0,0,0,155.06,1,87.57,1,84.64,1,71.42,1,5.76,10,3.37,6,3.42,2,Null,0,6,2,5.62,2,6.04,2,5.84,2,6,2
82,🇨🇦,Emily Bausback,0,2,1,0,0,154.5,3,77.92,3,78.27,3,77.89,3,4.67,30,3.51,18,3.65,6,3.17,3,6.7,6,6.28,6,6.54,6,6.57,6,6.51,6
83,🇰🇷,Siwon Lee,0,1,0,0,0,153.7,1,70.81,1,72.66,1,82.04,1,3.8,10,3.63,6,4.46,2,4,1,6.82,2,6.6,2,6.78,2,6.85,2,6.9,2
84,🇭🇺,Vivien Papp,2,0,0,0,0,153.23,2,76.79,2,78.26,2,75.48,2,4.97,20,3.52,12,3.73,4,Null,0,6.18,4,6.1,4,6.43,4,6.27,4,6.38,4
85,🇫🇷,Maïa Mazzara,0,2,0,0,1,152.68,2,83.94,2,80.9,2,74.78,2,4.89,23,3.02,15,2.63,5,3.5,2,6.21,4,5.8,4,5.82,4,6.01,4,6,4
86,🇨🇦,Véronik Mallet,0,0,0,1,0,151.87,1,70.43,1,74.58,1,78.29,1,4.21,10,3.82,6,3.16,2,3.21,1,6.68,2,6.32,2,6.56,2,6.59,2,6.64,2
87,🇨🇾,Emilea Zingas,0,3,0,0,0,151.67,3,71.81,3,72.28,3,80.05,3,4.44,30,2.8,18,3.62,6,3.86,3,6.62,6,6.39,6,6.62,6,6.77,6,6.88,6
88,🇹🇼,Tzu-Han Ting,0,1,0,1,0,151.39,2,81.56,2,79.12,2,74.26,2,4.6,20,3.62,12,3.86,4,3.64,2,6.23,4,5.96,4,6.25,4,6.23,4,6.24,4
89,🇪🇪,Kristina Shkuleta-Gromova,0,3,0,0,0,151.34,3,76.07,3,76.64,3,74.69,3,4.52,30,3.51,18,3.39,6,3.63,3,6.18,6,5.91,6,6.19,6,6.24,6,6.2,6
90,🇧🇬,Alexandra Feigin,0,1,0,1,0,151.04,2,76.98,2,75.16,2,76.38,2,4.52,20,3.3,12,3.42,4,3.32,2,6.49,4,6.22,4,6.44,4,6.52,4,6.43,4
91,🇺🇸,Maryn Pierce,1,0,0,0,0,150.67,1,74.14,1,73.48,1,79.19,1,4.62,10,3.29,6,3.78,2,Null,0,6.62,2,6.36,2,6.58,2,6.6,2,6.8,2
92,🇨🇭,Anna La Porta,1,0,0,0,0,150.25,1,78.04,1,78.58,1,72.67,1,5.28,10,3.32,6,2.95,2,Null,0,6.06,2,5.77,2,6.14,2,6.06,2,6.1,2
93,🇯🇵,Tomoe Kawabata,0,1,0,0,0,149.96,1,64.32,1,64.44,1,85.52,1,3.04,10,3.65,6,4.3,2,3.5,1,7.4,2,7.15,2,6.85,2,7.22,2,7.25,2
94,🇦🇹,Sophia Schaller,0,3,0,0,0,149.95,3,75.67,3,76.06,3,75.22,3,4.24,30,3.7,18,3.94,6,3.63,3,6.28,6,6.07,6,6.22,6,6.33,6,6.34,6
95,🇪🇪,Amalia Zelenjak,1,0,0,0,0,149.32,1,79.61,1,81.15,1,69.17,1,5.25,10,3.78,6,2.99,2,Null,0,5.8,2,5.6,2,5.62,2,5.82,2,5.74,2
96,🇨🇿,Eliska Brezinova,0,2,0,1,0,149.15,3,77.1,3,73.51,3,76.97,3,4.27,30,3.43,18,3.45,6,3.33,3,6.57,6,6.25,6,6.38,6,6.62,6,6.45,6
97,🇩🇪,Kristina Isaev,0,3,0,0,0,148.96,3,73.36,3,73.25,3,76.04,3,4.29,30,3.35,18,3.24,6,3.8,3,6.38,6,6.12,6,6.3,6,6.35,6,6.42,6
98,🇨🇦,Alison Schumacher,0,2,1,1,0,148.45,4,71.93,4,73.01,4,75.69,4,4.23,40,3.43,24,3.46,8,3.24,4,6.35,8,6.26,8,6.31,8,6.47,8,6.32,8
99,🇮🇹,Lucrezia Beccari,0,0,1,0,0,148.29,1,74.46,1,70.63,1,80.66,1,4.02,10,3.42,6,3.4,2,3.14,1,6.8,2,6.7,2,6.6,2,6.86,2,6.82,2
100,🇧🇾,Milana Ramashova,2,1,0,0,0,147.38,3,74.66,3,77.1,3,71.95,3,4.81,30,3.58,18,3.17,6,3.5,1,6.02,6,5.72,6,5.99,6,5.96,6,5.99,6
101,🇳🇿,Jocelyn Hong,0,1,0,1,0,146.02,2,78.5,2,78.26,2,67.76,2,4.93,20,3.28,12,3.01,4,3.32,2,5.69,4,5.4,4,5.62,4,5.6,4,5.62,4
102,🇭🇺,Júlia Láng,0,1,0,0,0,145.64,1,79.61,1,73.41,1,73.23,1,4.51,10,3.13,6,2.94,2,3.64,1,6.22,2,5.88,2,6.02,2,6.2,2,6.16,2
103,🇬🇪,Alina Urushadze,1,1,0,0,0,145.14,2,69.79,2,69.98,2,77.15,2,3.8,20,3.73,12,3.94,4,3.4,1,6.51,4,6.23,4,6.45,4,6.54,4,6.51,4
104,🇺🇸,Josephine Lee,1,0,0,0,0,144.97,1,65.33,1,67.06,1,78.91,1,4.16,10,3.05,6,3.61,2,Null,0,6.68,2,6.5,2,6.48,2,6.72,2,6.66,2
105,🇨🇭,Livia Kaiser,0,1,0,0,0,144.14,1,81.74,1,81.22,1,65.92,1,5.27,10,3.07,6,3.42,2,3.25,1,5.56,2,5.38,2,5.44,2,5.6,2,5.52,2
106,🇫🇷,Lola Ghozali,1,0,0,0,0,143.84,1,73.53,1,74.19,1,70.65,1,4.62,10,3.39,6,3.84,2,Null,0,6.05,2,5.78,2,5.86,2,5.96,2,5.8,2
107,🇨🇦,Sara-Maude Dupuis,1,0,0,0,0,143.54,1,73.75,1,73.6,1,70.94,1,4.79,10,3.31,6,2.93,2,Null,0,5.93,2,5.7,2,5.84,2,5.86,2,6,2
108,🇦🇹,Stefanie Pesendorfer,0,2,0,0,0,143.1,2,76.28,2,73.32,2,71.28,2,4.34,20,3.27,12,3.45,4,3.4,2,6.02,4,5.72,4,5.89,4,5.98,4,6,4
109,🇸🇰,Nicole Rajicova,0,1,0,0,0,143,1,67.6,1,69.17,1,73.83,1,3.61,10,3.59,6,4.06,2,3.43,1,6.26,2,5.84,2,6.08,2,6.2,2,6.12,2
110,🇮🇱,Taylor Morris,0,3,0,0,0,142.78,3,75.4,3,72.71,3,71.41,3,4.23,33,3.29,21,3.28,7,3.47,3,6,6,5.65,6,5.84,6,5.92,6,5.89,6
111,🇨🇦,Audréanne Foster,1,0,0,0,0,142.46,1,69.96,1,70.86,1,71.6,1,4.49,10,3.34,6,2.95,2,Null,0,6.02,2,5.75,2,6.04,2,6.1,2,6.05,2
112,🇨🇦,Lia Pereira,1,0,0,0,0,142.43,1,68.83,1,69.93,1,75.5,1,4.24,10,3.57,6,3.06,2,Null,0,6.28,2,6.09,2,6.26,2,6.3,2,6.4,2
113,🇷🇴,Julia Sauter,0,2,0,0,0,141.66,2,68.99,2,71.8,2,69.87,2,4.2,20,3.48,12,2.69,4,3.5,2,5.95,4,5.58,4,5.86,4,5.85,4,5.89,4
114,🇭🇺,Regina Schermann,1,1,0,1,0,141,3,73.15,3,74.27,3,69.06,3,4.4,30,3.55,18,3.35,6,3.46,2,5.9,6,5.6,6,5.66,6,5.87,6,5.69,6
115,🇵🇱,Noelle Streuli,2,0,0,0,0,140.76,2,77.36,2,75.82,2,66.93,2,4.47,20,3.93,12,3.76,4,Null,0,5.73,4,5.34,4,5.54,4,5.65,4,5.5,4
116,🇫🇮,Janna Jyrkinen,2,0,0,0,0,140.7,2,78.04,2,76.8,2,66.4,2,5,20,3.4,12,3.22,4,Null,0,5.7,4,5.44,4,5.39,4,5.62,4,5.48,4
117,🇪🇪,Gerli Liinamäe,0,3,0,0,0,140.7,3,66.03,3,67.27,3,73.76,3,3.69,30,3.38,18,3.46,6,3.2,3,6.31,6,5.97,6,6.12,6,6.23,6,6.23,6
118,🇸🇮,Dasa Grm,0,3,0,0,0,140.42,3,65.83,3,65.66,3,75.09,3,3.34,33,3.37,21,3.94,7,3.44,3,6.47,6,6.06,6,6.31,6,6.39,6,6.44,6
119,🇮🇹,Ginevra Negrello,1,2,0,0,0,139.6,3,70.72,3,68.08,3,74.19,3,3.49,30,3.82,18,3.79,6,4,2,6.3,6,6.07,6,6.03,6,6.32,6,6.3,6
120,🇺🇦,Anastasia Gozhva,0,1,0,0,0,139.53,1,70.88,1,72.41,1,68.12,1,4.15,10,3.44,6,3.6,2,3.1,1,6.02,2,5.5,2,5.58,2,5.65,2,5.6,2
121,🇰🇷,Boin Moon,1,0,0,0,0,139.11,1,66.61,1,67.87,1,74.24,1,3.92,10,3.68,6,3.29,2,Null,0,6.22,2,6.12,2,6.22,2,6.36,2,6.38,2
122,🇫🇮,Olivia Lisko,2,0,0,0,0,139.04,2,72.62,2,72.76,2,67.79,2,4.67,20,3.15,12,3.6,4,Null,0,5.64,4,5.46,4,5.64,4,5.66,4,5.65,4
123,🇵🇭,Sofia Lexi Jacqueline Frank,0,2,0,1,0,138.71,3,74.4,3,71.19,3,69.85,3,4.38,30,3.09,18,2.98,6,2.94,3,5.82,6,5.64,6,5.8,6,5.92,6,5.98,6
124,🇱🇻,Nikola Fomchenkova,2,0,0,0,0,138.01,2,77.16,2,73.85,2,65.16,2,5.08,20,2.95,12,2.66,4,Null,0,5.68,4,5.35,4,5.38,4,5.43,4,5.3,4
125,🇬🇧,Nina Povey,0,2,0,0,0,137.62,2,69.06,2,65.4,2,72.72,2,4.26,20,2.48,12,2.32,4,3.3,2,6.15,4,5.9,4,6.06,4,6.14,4,6.12,4
126,🇫🇮,Laura Karhunen,0,1,0,0,0,137.15,1,80.88,1,72.79,1,70.36,1,4.29,10,3.3,6,3.66,2,2.75,1,6.1,2,5.73,2,5.64,2,6.36,2,5.9,2
127,🇳🇱,Niki Wories,0,2,0,0,0,136.58,2,68.74,2,61.58,2,76.5,2,3.16,20,3.25,12,3.39,4,3.7,2,6.5,4,6.24,4,6.19,4,6.51,4,6.44,4
128,🇨🇿,Nikola Rychtarikova,0,1,0,0,0,136.5,1,72.47,1,68.34,1,69.16,1,3.99,10,3.13,6,2.81,2,4.1,1,5.8,2,5.58,2,5.7,2,5.82,2,5.8,2
129,🇫🇮,Linnea Ceder,0,1,0,0,1,136.38,1,64.25,1,63.62,1,72.76,1,3.74,13,3.02,9,2.39,3,3.9,1,6,2,5.69,2,5.85,2,5.98,2,5.98,2
130,🇮🇱,Mariia Seniuk,1,0,0,0,0,136.27,1,76.97,1,77.32,1,59.95,1,5.24,10,3.38,6,2.32,2,Null,0,5.3,2,4.89,2,5.06,2,5.06,2,5,2
131,🇭🇰,Joanna So,0,1,0,0,0,135.78,1,68.75,1,69.75,1,70.03,1,4.15,10,3,6,3.34,2,3.5,1,5.86,2,5.56,2,5.68,2,5.8,2,5.8,2
132,🇱🇹,Daria Afinogenova,1,0,0,0,0,135.15,1,75,1,72.24,1,62.91,1,4.45,10,3.44,6,3.54,2,Null,0,5.36,2,4.9,2,5.32,2,5.23,2,5.18,2
133,🇱🇻,Anete Lace,0,2,0,0,0,134.64,2,66.46,2,66.24,2,69.89,2,4.04,23,2.95,15,3.02,5,3.45,2,6.05,4,5.68,4,5.82,4,5.98,4,5.86,4
134,🇱🇹,Aleksandra Golovkina,0,2,0,1,0,134.25,3,66.38,3,64.63,3,71.62,3,3.32,30,3.49,18,3.54,6,3.4,3,6.06,6,5.76,6,5.84,6,6.05,6,5.99,6
135,🇦🇺,Victoria Alcantara,0,2,0,1,0,133.89,3,72.55,3,70.18,3,65.37,3,4.03,30,3.33,18,3.24,6,3.43,3,5.45,6,5.32,6,5.47,6,5.51,6,5.44,6
136,🇬🇧,Kristen Spours,0,2,0,0,0,133.03,2,70.42,2,66.47,2,67.56,2,4.07,20,2.97,12,2.35,4,3.3,2,5.8,4,5.49,4,5.66,4,5.75,4,5.76,4
137,🇩🇪,Nargiz Süleymanova,2,1,0,0,1,132.45,3,77.52,3,69.6,3,64.85,3,4.33,33,3.35,21,2.57,7,3.4,1,5.62,6,5.25,6,5.37,6,5.48,6,5.41,6
138,🇲🇽,Andrea Montesinos Cantú,0,1,0,1,0,132.44,2,61.68,2,63.88,2,69.06,2,3.31,20,3.49,12,3.22,4,3.4,2,5.83,4,5.48,4,5.82,4,5.74,4,5.81,4
139,🇲🇽,Eugenia Garza Martinez,0,1,0,1,0,132.01,2,65.42,2,65.16,2,67.34,2,3.51,20,3.43,12,3.06,4,3.36,2,5.71,4,5.41,4,5.67,4,5.64,4,5.73,4
140,🇫🇷,Lorine Schild,1,0,0,0,0,131.85,1,79.12,1,71.17,1,62.68,1,4.49,10,3.25,6,3.38,2,Null,0,5.42,2,5.06,2,5.16,2,5.22,2,5.21,2
141,🇺🇦,Yelizaveta Babenko,0,1,0,0,0,131.51,1,67.75,1,63.11,1,68.4,1,3.88,10,2.62,6,2.78,2,3,1,5.72,2,5.52,2,5.72,2,5.75,2,5.7,2
142,🇨🇦,Catherine Carle,1,0,0,0,0,131.31,1,74.9,1,67.1,1,66.21,1,4.73,10,2.52,6,2.34,2,Null,0,5.79,2,5.15,2,5.62,2,5.52,2,5.56,2
143,🇨🇿,Barbora Vrankova,1,0,0,0,0,130.62,1,71.48,1,67.26,1,66.36,1,4.22,10,3.19,6,2.97,2,Null,0,5.7,2,5.43,2,5.56,2,5.62,2,5.57,2
144,🇺🇦,Mariia Andriichuk,2,0,0,0,0,129.58,2,77.04,2,70.96,2,61.13,2,5.01,20,2.67,12,2.43,4,Null,0,5.43,4,5.07,4,5.01,4,5.15,4,5.04,4
145,🇳🇱,Julia Van Dijk,2,0,0,0,0,129.34,2,72.02,2,67.86,2,61.98,2,4.48,20,2.87,12,2.92,4,Null,0,5.3,4,5.03,4,5.12,4,5.17,4,5.13,4
146,🇧🇬,Ivelina Baicheva,0,2,0,0,0,127.58,2,65.24,2,63.24,2,64.84,2,3.35,20,3.45,12,3.07,4,2.85,2,5.59,4,5.18,4,5.4,4,5.45,4,5.39,4
147,🇨🇭,Sarina Joos,1,0,0,0,0,126.99,1,72.07,1,63.32,1,63.67,1,3.84,10,3.18,6,2.9,2,Null,0,5.28,2,5,2,5.26,2,5.27,2,5.44,2
148,🇨🇦,Justine Miclette,1,0,0,0,0,126.71,1,75.02,1,66.15,1,65.56,1,4.08,10,3.27,6,2.86,2,Null,0,5.62,2,5.36,2,5.38,2,5.48,2,5.5,2
149,🇦🇹,Emily Saari,2,0,0,0,0,126.64,2,68.92,2,65.9,2,61.75,2,4.31,20,3.1,12,2.11,4,Null,0,5.3,4,4.95,4,5.17,4,5.13,4,5.16,4
150,🇨🇿,Ellen Slavickova,1,1,0,0,0,126.4,2,77.2,2,68.04,2,61.86,2,4.59,20,2.45,12,2.89,4,3.4,1,5.4,4,4.92,4,5.2,4,5.08,4,5.07,4
151,🇳🇱,Dani Loonstra,1,0,0,0,0,125.76,1,59.07,1,62.39,1,63.37,1,3.72,10,3.28,6,2.73,2,Null,0,5.54,2,5.14,2,5.28,2,5.38,2,5.38,2
152,🇵🇱,Elzbieta Gabryszak,0,1,0,0,0,125.59,1,68.28,1,61.31,1,67.28,1,3.39,10,3,6,3.24,2,2.9,1,5.75,2,5.42,2,5.62,2,5.6,2,5.78,2
153,🇪🇪,Nataly Langerbaur,0,3,0,0,0,125.45,3,66.2,3,59.72,3,66.73,3,3.24,30,2.94,18,3.13,6,3.36,3,5.91,6,5.53,6,5.58,6,5.67,6,5.53,6
154,🇩🇪,Nathalie Weinzierl,0,2,0,0,0,125.11,2,59.24,2,55.66,2,71.96,2,2.73,20,2.95,12,3.62,4,3.36,2,6.17,4,5.84,4,5.84,4,6.1,4,6.09,4
155,🇳🇴,Frida Berge,0,1,0,0,0,125.03,1,64.47,1,60.51,1,66.52,1,3.6,10,2.99,6,1.82,2,2.9,1,5.8,2,5.4,2,5.48,2,5.58,2,5.55,2
156,🇷🇸,Antonina Dubinina,0,3,0,0,0,124.05,3,66.61,3,60.26,3,64.13,3,3.34,33,3.16,21,2.76,7,3.2,3,5.53,6,5.23,6,5.44,6,5.5,6,5.47,6
157,🇬🇧,Elena Komova,1,1,0,0,0,123.84,2,67.24,2,65.06,2,60.28,2,3.86,20,3.02,12,3.37,4,3.2,1,5.14,4,4.74,4,4.95,4,5.02,4,4.99,4
158,🇸🇮,Julija Lovrencic,2,0,0,0,0,121.62,2,62.95,2,63.68,2,59.94,2,3.63,20,3.53,12,3.09,4,Null,0,5.01,4,4.79,4,5.03,4,4.99,4,5.04,4
159,🇸🇪,Emelie Ling,1,1,0,0,0,121.46,2,54.1,2,56.11,2,66.84,2,2.82,20,3.2,12,3.52,4,3.4,1,5.71,4,5.42,4,5.42,4,5.66,4,5.78,4
160,🇵🇱,Karolina Bialas,2,1,0,0,0,121.37,3,65.62,3,59.67,3,63.03,3,3.25,30,3.28,18,3.15,6,3.5,1,5.33,6,5.1,6,5.13,6,5.3,6,5.33,6
161,🇭🇺,Bernadett Szigeti,1,1,0,0,0,121.34,2,65.81,2,59.54,2,64.8,2,3.34,20,3.06,12,3.02,4,3.4,1,5.52,4,5.24,4,5.32,4,5.62,4,5.56,4
162,🇧🇬,Maria Levushkina,1,1,0,0,0,121.18,2,60.56,2,58.04,2,65.14,2,3.12,20,3.1,12,3.26,4,3.4,1,5.65,4,5.28,4,5.3,4,5.58,4,5.47,4
163,🇸🇰,Vanesa Selmeková,2,0,0,0,0,120.91,2,64.51,2,63.24,2,58.66,2,4.03,20,2.86,12,2.9,4,Null,0,5.12,4,4.79,4,4.86,4,4.92,4,4.83,4
164,🇨🇿,Michaela Vrastiakova,1,0,0,0,0,120.74,1,63.25,1,62.98,1,57.76,1,4.07,10,2.84,6,2.66,2,Null,0,4.91,2,4.56,2,4.8,2,4.82,2,4.76,2
165,🇫🇷,Eve Dubecq,1,0,0,0,0,120.27,1,69.09,1,62.68,1,58.59,1,3.72,10,3.23,6,3.07,2,Null,0,5.28,2,4.88,2,4.82,2,5.05,2,4.75,2
166,🇮🇳,Tara Prasad,0,2,0,1,0,120.26,3,65.42,3,59.42,3,61.17,3,3.45,30,2.74,18,2.61,6,3.24,3,5.14,6,4.91,6,5.19,6,5.21,6,5.28,6
167,🇮🇸,Aldís Kara Bergsdóttír,0,2,0,0,0,120.1,2,65.07,2,64.28,2,56.82,2,3.68,23,3.06,15,3.12,5,2.9,2,4.93,4,4.62,4,4.76,4,4.9,4,4.71,4
168,🇩🇪,Aya Hatakawa,2,1,0,0,0,119.36,3,63.03,3,56.77,3,66.92,3,3.06,30,3.14,18,3.03,6,3.8,1,5.79,6,5.48,6,5.33,6,5.71,6,5.56,6
169,🇧🇬,Chiara Hristova,2,0,0,0,0,118.48,2,64.55,2,62.14,2,57.33,2,4.21,20,2.53,12,2.46,4,Null,0,4.91,4,4.57,4,4.71,4,4.78,4,4.75,4
170,🇸🇰,Alexandra Michaela Filcová,2,1,0,0,0,118.1,3,67.37,3,63.1,3,55.34,3,4.12,33,2.76,21,2.33,7,3,1,4.95,6,4.51,6,4.74,6,4.76,6,4.69,6
171,🇮🇱,Viktoriia Iushchenkova,1,0,0,0,0,117.31,1,58.98,1,57.77,1,60.54,1,3.3,10,3.21,6,2.78,2,Null,0,5.26,2,4.74,2,5,2,5.02,2,5.04,2
172,🇬🇧,Karly Robertson,0,1,0,0,0,117.31,1,62.3,1,58.71,1,65.6,1,2.79,10,3.56,6,3.16,2,3.08,1,5.88,2,5.44,2,5.31,2,5.86,2,5.56,2
173,🇳🇴,Linnea Kilsand,1,1,0,0,0,117.18,2,59.44,2,56.01,2,63.16,2,3.53,23,2.65,15,2.44,5,3,1,5.6,4,5.33,4,5.22,4,5.42,4,5.34,4
174,🇩🇰,Maia Sørensen,0,2,0,0,0,116.92,2,62.79,2,56.57,2,62.34,2,3.3,23,2.53,15,2.58,5,3.12,2,5.42,4,5.04,4,5.18,4,5.3,4,5.29,4
175,🇳🇱,Mikai Maria Van Ommeren,1,0,0,0,0,116.61,1,68.75,1,62.42,1,56.19,1,3.9,10,2.9,6,3.03,2,Null,0,4.94,2,4.48,2,4.62,2,4.7,2,4.57,2
176,🇧🇬,Maria Manova,1,0,0,0,0,116.37,1,64.94,1,62.55,1,54.82,1,4.17,10,2.59,6,2.64,2,Null,0,4.69,2,4.29,2,4.6,2,4.6,2,4.52,2
177,🇳🇴,Mia Caroline Risa Gomez,1,0,0,0,0,116.2,1,63.27,1,62.13,1,56.07,1,3.76,10,3.25,6,2.51,2,Null,0,4.78,2,4.5,2,4.58,2,4.7,2,4.7,2
178,🇨🇭,Shaline Rüegger,0,1,0,0,0,115.55,1,63.23,1,57.83,1,59.72,1,3.43,10,2.65,6,2.26,2,3.1,1,5.3,2,4.88,2,5.15,2,4.95,2,4.95,2
179,🇰🇿,Anna Levkovets,1,0,0,0,0,115.5,1,70.32,1,62.26,1,55.24,1,3.76,10,3.43,6,2.02,2,Null,0,4.63,2,4.48,2,4.56,2,4.66,2,4.5,2
180,🇩🇰,Anna-Flora Colmor Jepsen,1,0,0,0,0,115.3,1,55.83,1,55.43,1,59.87,1,3.11,10,2.99,6,3.17,2,Null,0,4.98,2,4.79,2,4.98,2,5.04,2,5.16,2
181,🇨🇾,Stefania Yakovleva,1,0,0,0,0,114.85,1,59.79,1,55.9,1,61.95,1,3.24,10,3.03,6,2.64,2,Null,0,5.2,2,5.04,2,5.04,2,5.27,2,5.16,2
182,🇦🇹,Dorotea Leitgeb,2,0,0,0,0,114.74,2,57.27,2,55.9,2,60.34,2,3.12,20,3.24,12,2.64,4,Null,0,5.12,4,4.86,4,5.02,4,5.07,4,5.13,4
183,🇮🇹,Roberta Rodeghiero,0,1,0,0,0,114.49,1,56.97,1,52.17,1,64.32,1,2.99,10,2.39,6,2.44,2,3.1,1,5.72,2,5.25,2,5.4,2,5.52,2,5.58,2
184,🇧🇬,Kristina Grigorova,0,2,0,0,0,114.3,2,66.8,2,59.36,2,57.43,2,3.4,20,2.96,12,2.66,4,2.28,2,5.22,4,4.68,4,4.82,4,5.01,4,4.74,4
185,🇨🇿,Olusa Gajdosova,0,1,0,0,0,114.13,1,62.61,1,54.13,1,61,1,2.98,10,2.74,6,2.55,2,2.8,1,5.18,2,4.75,2,5.18,2,5.05,2,5.12,2
186,🇩🇰,Catharina Victoria Petersen,1,0,0,0,0,113.76,1,57.71,1,54.32,1,61.44,1,3.22,10,2.68,6,3.02,2,Null,0,5.28,2,5.02,2,5.22,2,5.28,2,5.39,2
187,🇨🇱,Yae-Mia Neira,0,3,0,0,0,113.43,3,60.86,3,55.88,3,58.89,3,2.83,30,3.09,18,2.82,6,3.37,3,4.95,6,4.68,6,4.95,6,5.02,6,5.06,6
188,🇲🇽,Regina Garcia De Leon Saab,1,0,0,0,0,113.36,1,55.41,1,55.64,1,58.72,1,3.05,10,3.22,6,2.94,2,Null,0,4.75,2,4.74,2,4.91,2,5,2,5,2
189,🇹🇼,Jenny Shyu,0,1,0,0,0,113.04,1,57.5,1,53.2,1,59.84,1,2.45,10,3.3,6,3.06,2,2.8,1,5.15,2,4.95,2,5.08,2,5.15,2,5.08,2
190,🇱🇹,Selina Kaneda,1,0,0,0,0,112.56,1,52.07,1,52.15,1,63.41,1,2.99,10,2.59,6,3.36,2,Null,0,5.34,2,5.08,2,5.4,2,5.32,2,5.52,2
191,🇱🇻,Anastasija Konga,1,0,0,0,0,112.45,1,71.33,1,61.79,1,53.66,1,3.67,10,3.17,6,3.02,2,Null,0,4.8,2,4.38,2,4.38,2,4.56,2,4.5,2
192,🇵🇱,Weronika Ferlin,2,0,0,0,0,112.32,2,63.73,2,61.1,2,52.72,2,3.69,20,3.1,12,2.82,4,Null,0,4.6,4,4.28,4,4.4,4,4.46,4,4.31,4
193,🇵🇱,Natalia Lerka,0,1,0,0,0,112.06,1,57.92,1,53.86,1,59.2,1,2.99,10,2.58,6,2.82,2,2.8,1,5.22,2,4.82,2,4.82,2,5.02,2,4.92,2
194,🇺🇿,Niginabonu Jamoliddinova,1,0,0,0,0,110.81,1,55.77,1,55.55,1,55.26,1,3.76,10,2.35,6,1.94,2,Null,0,4.82,2,4.41,2,4.64,2,4.61,2,4.75,2
195,🇹🇷,Sinem Pekder,0,2,0,0,0,110.67,2,58.61,2,52.71,2,58.46,2,2.82,23,2.95,15,2.26,5,3.04,2,5.17,4,4.86,4,4.98,4,5.08,4,5.03,4
196,🇦🇺,Vlada Vasiliev,1,0,0,0,0,110.48,1,68.59,1,60.79,1,53.69,1,3.68,10,3.3,6,2.13,2,Null,0,4.64,2,4.38,2,4.41,2,4.56,2,4.5,2
197,🇬🇷,Alexandra Panagiota Manis,1,0,0,0,0,109.57,1,66.05,1,58.36,1,52.21,1,3.69,10,2.6,6,2.92,2,Null,0,4.71,2,4.12,2,4.32,2,4.4,2,4.32,2
198,🇲🇽,Alejandra Osuna Tirado,1,0,0,0,0,109.46,1,52.55,1,50.39,1,59.07,1,2.24,10,3.8,6,2.58,2,Null,0,4.82,2,4.61,2,5.04,2,4.92,2,5.24,2
199,🇱🇻,Sofja Stepcenko,2,0,0,0,0,108.1,2,65.36,2,57.18,2,54.92,2,3.67,20,2.61,12,2.42,4,Null,0,4.78,4,4.48,4,4.51,4,4.64,4,4.59,4
200,🇸🇮,Manca Krmelj,1,0,0,0,0,108.08,1,66.91,1,56.68,1,54.4,1,3.31,10,3.02,6,2.73,2,Null,0,4.8,2,4.43,2,4.44,2,4.58,2,4.44,2
201,🇮🇸,Julia Ros Vidarsdottir,2,0,0,0,0,105.94,2,53.68,2,50.45,2,57.5,2,2.53,20,3.13,12,3.16,4,Null,0,4.89,4,4.61,4,4.78,4,4.87,4,4.91,4
202,🇭🇺,Ivett Tóth,0,1,0,0,0,104.97,1,50.63,1,47.61,1,62.36,1,2.13,10,2.95,6,2.84,2,2.9,1,5.52,2,5.02,2,5.25,2,5.35,2,5.28,2
203,🇸🇪,Josefin Brovall,1,0,0,0,0,104.79,1,57.58,1,52.19,1,55.6,1,3.08,10,2.64,6,2.76,2,Null,0,4.88,2,4.48,2,4.66,2,4.66,2,4.64,2
204,🇹🇼,Yan-Yi Lin,1,0,0,0,0,104.34,1,53.23,1,54.33,1,50.01,1,3.25,10,3.06,6,1.74,2,Null,0,4.34,2,4.05,2,4.09,2,4.2,2,4,2
205,🇸🇪,Julia Brovall,1,0,0,0,0,103.5,1,55.13,1,49.74,1,55.76,1,2.73,10,2.76,6,2.94,2,Null,0,4.88,2,4.5,2,4.59,2,4.78,2,4.64,2
