,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nStepSeq,MeanChor Seq,nChorSeq,MeanSS,nSS,MeanTR,nTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
131,🇩🇪,Thomas Stoll,0,2,0,0,1,160,2,75.46,2,72.38,2,89.12,2,3.8,23,3.43,15,3.09,5,3.4,2,6.17,4,5.92,4,5.89,4,6.17,4,6.19,4
132,🇰🇷,Hangil Kim,1,0,0,0,0,159.85,1,79.63,1,72.3,1,89.55,1,4.69,10,2.96,6,3.82,2,Null,0,6.15,2,5.77,2,5.9,2,6.14,2,6.08,2
133,🇮🇹,Emanuele Indelicato,1,0,0,0,0,159.07,1,79.75,1,72.3,1,87.77,1,4.64,10,3.22,6,3.29,2,Null,0,5.86,2,5.66,2,5.8,2,5.94,2,5.91,2
134,🇭🇰,Harrison Jon Yen Wong,0,1,0,0,1,158.49,1,86.23,1,81.43,1,77.06,1,4.66,13,3.4,9,2.59,3,3.33,1,5.21,2,4.92,2,5.1,2,5.21,2,5.07,2
135,🇵🇱,Jakub Lofek,2,0,0,0,0,158.12,2,72.7,2,70.87,2,87.25,2,4.59,20,3.07,12,3.25,4,Null,0,5.84,4,5.61,4,5.79,4,5.88,4,5.88,4
136,🇸🇪,Casper Johansson,2,0,0,0,0,156.64,2,75.27,2,73.14,2,84.5,2,4.54,20,3.4,12,3.68,4,Null,0,5.67,4,5.48,4,5.62,4,5.79,4,5.76,4
137,🇺🇦,Kyrylo Lishenko,2,0,0,0,0,156.38,2,75.2,2,75.16,2,81.22,2,5.16,20,2.96,12,2.93,4,Null,0,5.64,4,5.19,4,5.46,4,5.41,4,5.41,4
138,🇦🇺,James Min,0,1,0,1,0,156.38,2,94.28,2,75.35,2,84.52,2,4.87,20,3.01,12,2.5,4,3.54,2,5.95,4,5.45,4,5.58,4,5.9,4,5.71,4
139,🇵🇭,Christopher Caluza,0,1,0,0,0,156.24,1,78.17,1,74.2,1,83.04,1,4.81,10,2.92,6,2.58,2,3.42,1,5.44,2,5.29,2,5.77,2,5.82,2,5.96,2
140,🇺🇦,Fedir Kulish,1,0,0,0,0,155.84,1,78.64,1,79.01,1,77.83,1,6.01,10,2.26,6,2.68,2,Null,0,5.52,2,4.98,2,5.26,2,5.18,2,5.08,2
141,🇧🇾,Yauhenii Puzanau,1,0,0,0,0,155.37,1,69.53,1,67.52,1,89.85,1,3.87,10,3.61,6,3.55,2,Null,0,6.23,2,5.79,2,5.92,2,6.17,2,6.17,2
142,🇵🇱,Milosz Witkowski,0,1,0,0,0,154.94,1,64.83,1,64.69,1,90.25,1,3.68,10,2.84,6,3.8,2,3.3,1,6.08,2,5.78,2,5.98,2,6.05,2,6.18,2
143,🇧🇬,Larry Loupolover,0,2,0,0,0,153.22,2,81,2,71.24,2,82.97,2,4.41,23,2.63,15,2.53,5,2.82,2,5.98,4,5.5,4,5.69,4,5.78,4,5.77,4
144,🇧🇾,Vasil Barakhouski,1,0,0,0,0,152.63,1,84.38,1,76.78,1,78.85,1,5.08,10,3.4,6,2.82,2,Null,0,5.29,2,4.86,2,5.32,2,5.36,2,5.38,2
145,🇨🇭,Micha Steffen,0,1,0,0,0,151.67,1,85.95,1,74.54,1,77.13,1,4.89,10,2.72,6,3.38,2,2.58,1,5.54,2,5.06,2,5.17,2,5.42,2,5.17,2
146,🇰🇿,Rakhat Bralin,0,1,0,0,0,151.15,1,67.27,1,63.15,1,89,1,4.46,10,1.83,6,2.35,2,2.9,1,6.18,2,5.8,2,5.92,2,6.05,2,6,2
147,🇱🇻,Daniels Kochkers,2,0,0,0,0,150.63,2,75.18,2,70.78,2,80.35,2,5.6,23,1.94,15,2.53,5,Null,0,5.59,4,5.26,4,5.29,4,5.43,4,5.31,4
148,🇭🇺,Andras Csernoch,0,2,0,0,0,150.22,2,80.06,2,69.49,2,82.23,2,4.25,23,3.09,15,3.13,5,2.99,2,5.81,4,5.4,4,5.48,4,5.64,4,5.53,4
149,🇿🇦,Matthew Samuels,0,2,0,0,0,150.11,2,79.82,2,71.28,2,79.83,2,4.56,20,2.66,12,3.07,4,3.56,2,5.44,4,5.04,4,5.33,4,5.32,4,5.36,4
150,🇨🇦,Alec Guinzbourg,1,0,0,0,0,149.82,1,82.82,1,66.32,1,88.5,1,4.21,10,3.11,6,2.76,2,Null,0,6.14,2,5.95,2,5.72,2,6.08,2,5.86,2
151,🇸🇪,Jonathan Egyptson,1,0,0,0,0,148.95,1,65.87,1,63.68,1,86.27,1,3.82,10,3.27,6,2.94,2,Null,0,5.77,2,5.44,2,5.73,2,5.82,2,5.86,2
152,🇺🇦,Vadym Novikov,2,0,0,0,0,148.72,2,75.91,2,73.46,2,76.76,2,5.24,20,2.59,12,2.74,4,Null,0,5.41,4,4.88,4,5.22,4,5.16,4,5.12,4
153,🇹🇼,Fang-Yi Lin,1,0,0,0,0,148.38,1,78.64,1,63.85,1,87.53,1,3.84,10,3.01,6,3.7,2,Null,0,6.48,2,5.74,2,5.66,2,6.02,2,5.93,2
154,🇪🇸,Pablo García,1,1,0,0,0,147.86,2,73.66,2,72.9,2,75.46,2,5.09,20,2.41,12,2.99,4,3.2,1,5.16,4,4.88,4,4.97,4,5.1,4,4.98,4
155,🇭🇷,Charles Henry Katanovic,0,2,0,0,0,147.56,2,73.93,2,65.36,2,82.2,2,3.69,20,3.2,12,3.02,4,3.2,2,5.78,4,5.38,4,5.55,4,5.59,4,5.55,4
156,🇫🇷,Corentin Spinar,1,0,0,0,0,147.16,1,63.95,1,66.53,1,80.63,1,4.41,10,2.85,6,2.64,2,Null,0,5.54,2,5.14,2,5.34,2,5.44,2,5.4,2
157,🇦🇺,Jordan Dodds,0,1,0,1,0,146.26,2,71.47,2,64.8,2,83.96,2,3.88,20,2.97,12,2.62,4,2.92,2,5.77,4,5.44,4,5.51,4,5.82,4,5.7,4
158,🇭🇺,Mózes József Berei,1,0,0,0,0,145.55,1,73.39,1,66.42,1,79.13,1,4.2,10,3.2,6,2.6,2,Null,0,5.39,2,5.07,2,5.36,2,5.4,2,5.28,2
159,🇹🇷,Ali Efe Gunes,2,0,0,0,0,144.4,2,83.31,2,75.22,2,69.68,2,5.69,20,2.28,12,2.32,4,Null,0,5.01,4,4.45,4,4.63,4,4.67,4,4.48,4
160,🇭🇺,Aleksandr Vlasenko,1,0,0,0,0,143.82,1,78.37,1,73.21,1,71.61,1,5.01,10,2.85,6,3.03,2,Null,0,5.02,2,4.66,2,4.84,2,4.92,2,4.93,2
161,🇨🇿,Damian Malczyk,1,0,0,0,0,143.6,1,62.81,1,64.39,1,79.21,1,3.98,10,2.99,6,3.34,2,Null,0,5.36,2,5.11,2,5.44,2,5.32,2,5.3,2
162,🇹🇷,Alp Tore Ovalioglu,1,0,0,0,0,141.7,1,65.07,1,62.98,1,81.72,1,4.27,10,2.65,6,2.18,2,Null,0,5.46,2,5.14,2,5.4,2,5.5,2,5.5,2
163,🇧🇬,Radoslav Marinov,0,1,0,0,0,141.23,1,77.09,1,73.13,1,70.1,1,5.24,10,2.84,6,1.87,2,0,1,5.12,2,4.55,2,4.82,2,4.82,2,4.68,2
164,🇮🇪,Conor Stakelum,0,2,0,0,0,140.11,2,59.75,2,58.31,2,82.3,2,3.65,23,2.81,15,2.39,5,3.22,2,5.61,4,5.36,4,5.59,4,5.61,4,5.61,4
165,🇸🇪,Oliver Praetorius,1,0,0,0,0,139.21,1,73.53,1,64.82,1,77.39,1,4.37,10,2.51,6,3.02,2,Null,0,5.41,2,4.92,2,5.11,2,5.34,2,5.14,2
166,🇸🇰,Lukas Vaclavik,2,0,0,0,0,138.13,2,66.12,2,61.49,2,79.14,2,3.81,20,2.82,12,3.24,4,Null,0,5.41,4,5.16,4,5.33,4,5.33,4,5.3,4
167,🇪🇸,Euken Alberdi,1,0,0,0,0,137.67,1,57.06,1,58.25,1,79.42,1,3.74,10,2.71,6,2.3,2,Null,0,5.44,2,5.12,2,5.28,2,5.36,2,5.11,2
168,🇸🇰,Marko Piliar,2,0,0,0,0,137.57,2,69.18,2,64.22,2,74.84,2,4.02,20,2.98,12,3.07,4,Null,0,5.28,4,4.77,4,4.89,4,5.09,4,4.86,4
169,🇹🇼,Che Yu Yeh,0,1,0,0,0,137.13,1,70.03,1,63.57,1,74.56,1,3.87,10,2.55,6,3.38,2,2.83,1,5.04,2,4.8,2,4.92,2,5.06,2,5.12,2
170,🇰🇿,Oleg Melnikov,1,0,0,0,0,136.15,1,70.5,1,64.93,1,72.22,1,4.14,10,3.32,6,1.78,2,Null,0,5,2,4.52,2,4.93,2,4.71,2,4.82,2
171,🇮🇱,Iakov Pogrebinskii,2,0,0,0,0,134.77,2,67.2,2,63.83,2,71.94,2,4.29,20,2.64,12,2.52,4,Null,0,5.02,4,4.73,4,4.71,4,4.88,4,4.75,4
172,🇩🇪,Luca Fünfer,2,0,0,0,0,133.79,2,71.36,2,63.42,2,72.87,2,4.36,20,2.31,12,2.95,4,Null,0,5.07,4,4.71,4,4.83,4,4.96,4,4.79,4
173,🇭🇺,Máté Böröcz,0,1,0,0,0,133.74,1,76.2,1,67.39,1,67.35,1,4.89,10,2.01,6,1.84,2,2.7,1,4.88,2,4.32,2,4.58,2,4.55,2,4.42,2
174,🇬🇧,Freddie Leggott,1,0,0,0,0,131.16,1,66.56,1,57.92,1,77.24,1,3.59,10,2.6,6,3.22,2,Null,0,5.27,2,5.05,2,5.14,2,5.2,2,5.28,2
175,🇹🇷,Efe Ergin Dincer,1,0,0,0,0,128.83,1,65.34,1,61.3,1,68.53,1,4.37,10,2.3,6,1.9,2,Null,0,4.88,2,4.38,2,4.68,2,4.56,2,4.43,2
176,🇪🇪,Jegor Martsenko,2,0,0,0,0,126.56,2,67.92,2,59.42,2,68.64,2,3.89,20,2.52,12,2.71,4,Null,0,4.81,4,4.35,4,4.46,4,4.71,4,4.51,4
177,🇫🇷,Axel Ahmed,1,0,0,0,0,125.55,1,59.69,1,48.38,1,81.17,1,2.55,10,2.86,6,2.86,2,Null,0,5.61,2,5.3,2,5.3,2,5.54,2,5.43,2
178,🇮🇱,Nikita Kovalenko,0,1,0,0,0,125.49,1,51.56,1,44.69,1,83.8,1,2.73,10,1.32,6,3.2,2,3.1,1,5.88,2,5.48,2,5.5,2,5.82,2,5.65,2
179,🇭🇰,Adonis Wai Chung Wong,0,1,0,0,0,125.13,1,65.35,1,53.83,1,72.3,1,3.53,10,2.06,6,2.2,2,1.8,1,5.28,2,4.72,2,4.9,2,4.95,2,4.68,2
180,🇮🇹,Gabriel Renoldi,1,0,0,0,0,121.23,1,62.32,1,53.6,1,69.63,1,3.29,10,2.58,6,2.62,2,Null,0,4.96,2,4.54,2,4.6,2,4.84,2,4.69,2
181,🇨🇭,Leon Auspurg,0,1,0,0,0,117.58,1,65.87,1,56.78,1,62.8,1,3.83,10,2.13,6,1.86,2,2,1,4.48,2,4.02,2,4.2,2,4.28,2,4.1,2
182,🇦🇹,Tobia Oellerer,1,0,0,0,0,110.15,1,54.91,1,46.55,1,65.6,1,2.67,10,2.51,6,2.4,2,Null,0,4.58,2,4.25,2,4.34,2,4.56,2,4.38,2
183,🇬🇧,Joseph Alexander Zakipour,1,0,0,0,0,110.05,1,63.92,1,52.91,1,62.14,1,3.29,10,2.52,6,2.46,2,Null,0,4.52,2,4.09,2,4.12,2,4.54,2,4.18,2
184,🇸🇮,David Sedej,2,0,0,0,0,108.96,2,65.16,2,53.1,2,59.37,2,3.49,20,2.24,12,2.34,4,Null,0,4.32,4,3.78,4,3.94,4,4.1,4,3.84,4
185,🇺🇿,Azizmurod Shabazov,1,0,0,0,0,106.92,1,47.68,1,45.12,1,62.8,1,2.37,10,2.47,6,3.28,2,Null,0,4.76,2,4.02,2,4.16,2,4.28,2,4.07,2
186,🇭🇰,Heung Lai Zhao,1,0,0,0,0,101.76,1,60.1,1,47.36,1,57.4,1,3.36,10,1.81,6,1.44,2,Null,0,4.5,2,3.68,2,3.88,2,4.14,2,3.86,2
187,🇿🇦,Nicolas Van De Vijver,1,0,0,0,0,96.2,1,44.36,1,37.32,1,59.88,1,2.02,10,2.06,6,2.36,2,Null,0,4.14,2,3.8,2,4.09,2,4.12,2,3.89,2
188,🇮🇪,Dillon Judge,2,0,0,0,0,95,2,53.16,2,44.51,2,53.48,2,2.96,20,1.86,12,1.87,4,Null,0,3.88,4,3.44,4,3.49,4,3.71,4,3.54,4
189,🇦🇹,Alexander Charnagalov,1,0,0,0,0,93.72,1,51.58,1,40.4,1,57.32,1,2.28,10,2.21,6,2.16,2,Null,0,4.3,2,3.75,2,3.7,2,4.02,2,3.92,2
190,🇧🇬,Filip Kaimakchiev,2,0,0,0,0,91.84,2,61.8,2,44.1,2,52.23,2,2.97,19,2.23,12,1.24,4,Null,0,3.76,4,3.43,4,3.46,4,3.68,4,3.54,4
191,🇿🇦,Sinali Sango,1,0,0,0,0,90.03,1,42.26,1,37.45,1,53.58,1,2.34,10,1.71,6,1.92,2,Null,0,3.92,2,3.34,2,3.54,2,3.6,2,3.48,2
192,🇲🇰,Seldin Saliu,1,0,0,0,0,83.33,1,42.87,1,36.68,1,46.65,1,2.57,10,1.35,6,1.45,2,Null,0,3.36,2,3.04,2,3.1,2,3.3,2,3.09,2
193,🇹🇭,Chindanai Ponsing,1,0,0,0,0,67.67,1,26.46,1,19.77,1,50.9,1,1.08,10,1.08,6,1.27,2,Null,0,3.73,2,3.38,2,3.36,2,3.52,2,3.42,2
194,🇮🇳,Priyam Tated,1,0,0,0,0,30.36,1,17.43,1,12.99,1,18.37,1,0.71,8,0.9,6,0.96,2,Null,0,1.38,2,0.9,2,1.4,2,1.27,2,1.36,2
