,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nStepSeq,MeanChor Seq,nChorSeq,MeanSS,nSS,MeanTR,nTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
50,🇷🇺,Alexei Erokhov,0,1,0,0,0,212.54,1,105.94,1,102.64,1,111.9,1,7.06,10,3.66,6,3.54,2,3,1,7.72,2,7.35,2,7.42,2,7.52,2,7.52,2
51,🇪🇪,Aleksandr Selevko,0,3,0,0,0,212.39,3,99.16,3,102.67,3,110.72,3,6.9,30,3.53,18,4.19,6,4.1,3,7.37,6,7.18,6,7.35,6,7.42,6,7.47,6
52,🇺🇸,Camden Pulkinen,0,1,2,1,0,209.94,4,100.52,4,101.47,4,110.22,4,7.01,40,3.31,24,3.91,8,3.65,4,7.51,8,7.14,8,7.22,8,7.48,8,7.38,8
53,🇰🇿,Mikhail Shaidorov,1,1,0,1,0,209.59,3,111.41,3,113.61,3,97.31,3,8.59,30,3.14,18,3.25,6,3.66,2,6.48,6,6.21,6,6.36,6,6.5,6,6.48,6
54,🇬🇪,Irakli Maysuradze,0,1,0,0,0,208.8,1,105.25,1,101.35,1,108.45,1,7.11,10,3.31,6,3.48,2,3.4,1,7.32,2,7.08,2,7.3,2,7.3,2,7.35,2
55,🇫🇷,Romain Ponsart,0,1,1,0,0,208.33,2,103.7,2,99.91,2,110.42,2,6.85,20,3.28,12,3.91,4,3.92,2,7.49,4,7.06,4,7.34,4,7.38,4,7.46,4
56,🇨🇦,Joseph Phan,0,1,0,1,0,207.75,2,90.6,2,99.1,2,109.64,2,6.77,20,3.47,12,3.31,4,4,2,7.37,4,7.14,4,7.2,4,7.43,4,7.27,4
57,🇫🇷,Luc Economides,0,1,0,0,0,207.69,1,98.53,1,99.31,1,110.38,1,6.93,10,3.26,6,3.47,2,3.5,1,7.23,2,6.96,2,7.48,2,7.58,2,7.73,2
58,🇪🇪,Arlet Levandi,2,3,0,1,0,206.82,6,92.5,6,102.11,6,104.88,6,6.69,60,3.74,36,4.97,12,4.23,4,6.81,12,6.67,12,6.99,12,7.04,12,7.08,12
59,🇫🇷,Landry Le May,0,1,0,0,0,206.64,1,104,1,105.59,1,101.05,1,7.69,10,2.99,6,3.54,2,3.7,1,6.85,2,6.48,2,6.8,2,6.78,2,6.78,2
